slNo,signal_id,platform_code,datetime,pumpStatus,inletTemp,ctdTemp,longitude,latitude
145,19ce09f3-3442-4e09-953f-7b15115b6043,FA,2020-03-05T02:25:06,1.0,5.355,5.889,11.1674,57.9803
146,f5d76b17-7e16-410f-ae81-b4eda61c8d60,FA,2020-03-05T02:26:07,1.0,5.384,5.9,11.1642,57.986
147,f01261e4-2cbd-4bd0-91e0-7f22e9cfe477,FA,2020-03-05T02:27:07,1.0,5.062,5.913,11.1611,57.9916
148,924d9419-0e8e-47d6-b78b-53fbb84acf42,FA,2020-03-05T02:28:07,1.0,4.964,5.911,11.1579,57.9971
149,d4baa567-0323-49ca-b88d-0e7ea3e1286d,FA,2020-03-05T02:29:07,1.0,4.998,5.885,11.1547,58.0027
150,42099b6a-77f7-401b-b0ab-2734c80304aa,FA,2020-03-05T02:30:07,1.0,5.156,5.719,11.1516,58.0082
151,2a3b55e9-3801-4969-aab1-7e7ba8a478f6,FA,2020-03-05T02:31:07,1.0,5.207,5.606,11.1484,58.0136
152,b03ba2b2-9ca4-4ffc-a89f-97742182ef01,FA,2020-03-05T02:32:07,1.0,5.222,5.672,11.145199999999999,58.0191
153,30b158e9-1259-42d2-8345-025e3f006458,FA,2020-03-05T02:33:07,1.0,5.205,5.725,11.1419,58.0245
154,09f042ab-21d6-44ae-b006-0ce4efad1f97,FA,2020-03-05T02:34:08,1.0,5.255,5.757,11.1388,58.0299
155,71233e3e-e7c0-4313-8e40-1f3f45e675dc,FA,2020-03-05T02:35:08,1.0,5.25,5.76,11.1355,58.0353
156,c8424b6c-d5df-4d34-a647-589dd3b270b0,FA,2020-03-05T02:36:08,1.0,5.255,5.784,11.1322,58.0407
157,7517356e-991e-45ed-a30e-d050f1d14267,FA,2020-03-05T02:37:08,1.0,5.219,5.802,11.1289,58.0461
158,c23db446-4c62-46da-b0cb-4ccacfe8ea20,FA,2020-03-05T02:38:08,1.0,5.13,5.8260000000000005,11.1257,58.0515
159,6b3f2c97-5224-48b4-bc06-8682f88cbee0,FA,2020-03-05T02:39:08,1.0,5.054,5.836,11.1226,58.057
160,d48c690b-f2dd-49ea-924a-02bb7413c08e,FA,2020-03-05T02:40:08,1.0,5.018,5.8,11.1195,58.0624
161,5993a38e-27ca-4543-b014-1cec8fad0258,FA,2020-03-05T02:41:08,1.0,4.986,5.759,11.1164,58.0679
162,4b175831-3c0f-4280-8a16-291861e60adf,FA,2020-03-05T02:42:09,1.0,4.975,5.696,11.1134,58.0734
163,8a8cf53e-c5e6-445e-81ec-7ad7b4a3d8c1,FA,2020-03-05T02:43:09,1.0,4.953,5.64,11.1102,58.0788
164,3a8dfd8f-b3f2-434e-8df1-8ff6ff364a05,FA,2020-03-05T02:44:09,1.0,4.944,5.5969999999999995,11.1072,58.0842
165,384f7963-a6c7-4741-9b2f-143be01b486c,FA,2020-03-05T02:45:09,1.0,5.007,5.5760000000000005,11.1041,58.0898
166,f0f289db-4964-4dd1-a197-f86e09b9b39d,FA,2020-03-05T02:46:09,1.0,5.221,5.559,11.1011,58.0952
167,d2e49f17-9f86-45ae-a218-db5d1033b53a,FA,2020-03-05T02:47:09,1.0,5.215,5.593,11.0981,58.1006
168,df262931-1b7b-457d-bddf-8d64548b0b17,FA,2020-03-05T02:48:09,1.0,5.234,5.678,11.0952,58.106
169,e88adad4-ec6a-480c-ba0e-86a2b197a736,FA,2020-03-05T02:49:09,1.0,5.323,5.735,11.0924,58.1115
170,44b604af-1759-454e-a523-752c631aa6c0,FA,2020-03-05T02:50:09,1.0,5.347,5.772,11.0897,58.117
171,ea48586c-b9b6-4e0a-949f-e6918cf825a7,FA,2020-03-05T02:51:10,1.0,5.34,5.829,11.0871,58.1224
172,b1b6ead4-b406-4bb2-8d82-0b1024b95a67,FA,2020-03-05T02:52:10,1.0,5.353,5.867,11.0843,58.1279
173,4359d924-97c4-4f85-a8ea-50610517ee66,FA,2020-03-05T02:53:10,1.0,5.308,5.886,11.0816,58.1334
174,144dfa00-c671-4e4a-bdcc-f27e0ad88ff6,FA,2020-03-05T02:54:10,1.0,5.283,5.905,11.0789,58.1389
175,6e1f7a62-7e37-437f-a217-8caafd2bd577,FA,2020-03-05T02:55:10,1.0,5.282,5.894,11.0763,58.1443
176,a1e671e0-85ad-4616-8b5b-8bacf2f51daf,FA,2020-03-05T02:56:10,1.0,5.307,5.874,11.0736,58.1497
177,9f1a063a-3865-48d6-bb37-2d8e4adac0e5,FA,2020-03-05T02:57:10,1.0,5.373,5.864,11.071,58.1551
178,1390abdf-bbb0-497d-b42f-3afa6c3baaeb,FA,2020-03-05T02:58:10,1.0,5.385,5.873,11.0684,58.1606
179,6ea03f9a-35a9-483c-93de-b69eddd548e1,FA,2020-03-05T02:59:10,1.0,5.443,5.907,11.0658,58.166
180,8149ce63-c62b-4235-991f-c324b66285b6,FA,2020-03-05T03:00:11,1.0,5.405,5.932,11.0631,58.1714
181,93e3554f-67f6-483e-8e47-452f9eec9988,FA,2020-03-05T03:01:11,1.0,5.3870000000000005,5.966,11.0603,58.1767
182,aefeabab-0611-4740-a86e-362e57bba006,FA,2020-03-05T03:02:11,1.0,5.499,5.965,11.0572,58.182
183,4acff2db-d2bc-4ca8-9d3a-625d32c3d796,FA,2020-03-05T03:03:11,1.0,5.462,5.9719999999999995,11.054,58.1873
184,81376cad-4a81-49af-b44f-0fbd5258718a,FA,2020-03-05T03:04:11,1.0,5.465,6.001,11.0507,58.1927
185,59ebdb6f-2ad0-454a-962f-f388f9ab4b4f,FA,2020-03-05T03:05:11,1.0,5.469,6.017,11.0475,58.1979
186,fc29327a-5640-4629-8cf2-c8abddda03b6,FA,2020-03-05T03:06:11,1.0,5.45,6.02,11.0444,58.2032
187,20ea733b-1282-4042-8311-7b94c657a687,FA,2020-03-05T03:07:11,1.0,5.465,6.029,11.0418,58.2086
188,3abe96f0-7746-4e4e-87bd-40a615a55913,FA,2020-03-05T03:08:11,1.0,5.413,6.03,11.0394,58.214
189,c672cd78-15bc-4ba0-819b-b480b1825a08,FA,2020-03-05T03:09:12,1.0,5.47,6.028,11.0372,58.2194
190,6bc8d153-c1ad-4663-8b56-2b285c6f93bc,FA,2020-03-05T03:10:12,1.0,5.564,6.013,11.0349,58.2248
191,25177fa9-d1ef-4d1b-a3e3-a59b02f537df,FA,2020-03-05T03:11:12,1.0,5.492,6.021,11.0327,58.2303
192,ec7ffd63-8807-49da-b728-646cf28d4286,FA,2020-03-05T03:12:12,1.0,5.474,6.061,11.0305,58.2357
193,f08d3da4-dc66-46f4-8820-57c1e319fc2b,FA,2020-03-05T03:13:12,1.0,5.661,6.074,11.0282,58.2411
194,d0f87c6f-5611-4d06-a4c4-e5567cc7db37,FA,2020-03-05T03:14:12,1.0,5.716,6.056,11.026,58.2465
195,978d8d84-f9a3-4cd7-ac04-5eaee381028d,FA,2020-03-05T03:15:12,1.0,5.753,6.125,11.0238,58.2518
196,094ebce4-441f-4c34-9d02-9333419fcd6c,FA,2020-03-05T03:16:12,1.0,5.866,6.185,11.0215,58.2571
197,8730e79c-a248-4c2e-8581-dfd6137e32bb,FA,2020-03-05T03:17:13,1.0,6.015,6.236,11.0192,58.2624
198,8580a266-e9bc-4635-9255-08ac728e4d29,FA,2020-03-05T03:18:13,1.0,6.043,6.308,11.017,58.2677
199,f3b893e5-6cac-4be9-a197-675ed197aa49,FA,2020-03-05T03:19:13,1.0,6.181,6.408,11.0147,58.2729
200,abf015e1-e4ca-4c55-81d4-5856aba86252,FA,2020-03-05T03:20:13,1.0,6.196,6.476,11.0123,58.2783
201,579a5470-56f4-4c59-ae28-107097937b18,FA,2020-03-05T03:21:13,1.0,6.214,6.559,11.01,58.2834
202,405a3d8c-6b3e-40cd-b93d-955dbdfb1c46,FA,2020-03-05T03:22:13,1.0,6.047,6.626,11.0075,58.2888
203,7e6fd32c-defd-4da7-b3c6-6720e7a112f3,FA,2020-03-05T03:23:13,1.0,5.917,6.665,11.0051,58.2941
204,b6cc7adb-c51a-4984-bd21-91d892c2bb06,FA,2020-03-05T03:24:13,1.0,5.89,6.658,11.0025,58.2994
